id,label,figure_id,figure_number,page,caption_text,file,saved_ext,bbox,width_px,height_px
figure_fig_0131,Figure,fig_0131,131,97,Рисунок 131 — Генерация отложенного события ожидания подписки в мессенджере,data\images\fig_0131.png,png,"(117.5999984741211, 394.3199768066406, 505.5, 688.8599853515625)",1617,1228
figure_fig_0132,Figure,fig_0132,132,98,Рисунок 132 — Генерация отложенного события ожидания подписки в мессенджере (по идентификатору клиента),data\images\fig_0132.png,png,"(112.31999969482422, 88.07997131347656, 511.260009765625, 315.65997314453125)",1663,949
figure_fig_0133,Figure,fig_0133,133,99,Рисунок 133 — Отправка рассылки по номеру телефона с указанием приоритета мессенджеров,data\images\fig_0133.png,png,"(73.19999694824219, 43.199981689453125, 550.3800048828125, 433.9800109863281)",1989,1629
figure_fig_0134,Figure,fig_0134,134,100,"Рисунок 134 — Рассылка, использующая два макроса",data\images\fig_0134.png,png,"(147.60000610351562, 274.55999755859375, 475.5, 407.82000732421875)",1367,556
figure_fig_0135,Figure,fig_0135,135,103,Рисунок 135 — Аргументы события являются макросами для рассылки,data\images\fig_0135.png,png,"(110.16000366210938, 187.67999267578125, 513.6600341796875, 468.29998779296875)",1682,1170
figure_fig_0136,Figure,fig_0136,136,104,"Рисунок 136 — Пример рассылки, которая генерирует 3 различных thread_id",data\images\fig_0136.png,png,"(56.15999984741211, 398.8800048828125, 567.6599731445312, 588.0599975585938)",2132,789
figure_fig_0137,Figure,fig_0137,137,104,Рисунок 137 — Отображение thread_id у клиента,data\images\fig_0137.png,png,"(223.1999969482422, 647.0399780273438, 400.3800048828125, 783.8999633789062)",739,571
figure_fig_0138,Figure,fig_0138,138,105,Рисунок 138 — Использование макросов при вызове внешней системы,data\images\fig_0138.png,png,"(152.16000366210938, 319.679931640625, 471.8999938964844, 707.8199462890625)",1333,1618
figure_fig_0139,Figure,fig_0139,139,106,Рисунок 139 — Определение аргумента для события,data\images\fig_0139.png,png,"(139.1999969482422, 346.32000732421875, 483.41998291015625, 576.0599975585938)",1435,958
figure_fig_0140,Figure,fig_0140,140,107,Рисунок 140 — Добавление формы в рассылку,data\images\fig_0140.png,png,"(188.8800048828125, 43.20001220703125, 435.17999267578125, 205.260009765625)",1027,676
figure_fig_0141,Figure,fig_0141,141,107,Рисунок 141 — Форма добавлена в рассылку,data\images\fig_0141.png,png,"(179.0399932861328, 258.9599609375, 444.53997802734375, 341.0999755859375)",1107,343
figure_fig_0142,Figure,fig_0142,142,107,Рисунок 142 — Экран настройки формы,data\images\fig_0142.png,png,"(102.4800033569336, 412.55999755859375, 521.3399658203125, 649.02001953125)",1746,986
figure_fig_0143,Figure,fig_0143,143,110,Рисунок 143 — Выбор типа добавляемого вопроса,data\images\fig_0143.png,png,"(235.1999969482422, 43.199981689453125, 388.6199951171875, 270.53997802734375)",640,948
figure_fig_0144,Figure,fig_0144,144,111,Рисунок 144 — Основные настройки вопроса,data\images\fig_0144.png,png,"(98.16000366210938, 43.199981689453125, 525.1799926757812, 307.98004150390625)",1780,1104
figure_fig_0145,Figure,fig_0145,145,111,Рисунок 145 — Добавление медиа-контента к вопросу,data\images\fig_0145.png,png,"(104.87999725341797, 526.5599975585938, 517.97998046875, 772.8599853515625)",1722,1027
figure_fig_0146,Figure,fig_0146,146,112,"Рисунок 146 — Добавление вопроса, который будет задан при выполнении определенного условия",data\images\fig_0146.png,png,"(59.7599983215332, 306.7200012207031, 562.8599853515625, 495.8999938964844)",2097,789
figure_fig_0147,Figure,fig_0147,147,113,Рисунок 147 — Продолжение рассылки при успешном выходе клиента (ответе на все обязательные вопросы),data\images\fig_0147.png,png,"(120.4800033569336, 43.199951171875, 503.1000061035156, 275.5799560546875)",1595,969
figure_fig_0148,Figure,fig_0148,148,113,Рисунок 148 — Продолжение рассылки при выходе по таймауту,data\images\fig_0148.png,png,"(120.4800033569336, 394.32000732421875, 502.6200256347656, 612.0599975585938)",1593,908
figure_fig_0149,Figure,fig_0149,149,114,Рисунок 149 — Продолжение рассылки при выходе по желанию клиента,data\images\fig_0149.png,png,"(134.16000366210938, 90.00001525878906, 489.6600036621094, 272.70001220703125)",1482,762
figure_fig_0150,Figure,fig_0150,150,114,Рисунок 150 — Рассылка с переводом в канал,data\images\fig_0150.png,png,"(77.76000213623047, 531.3599853515625, 545.5800170898438, 704.9400024414062)",1950,724
figure_fig_0151,Figure,fig_0151,151,115,Рисунок 151 — Основные настройки формы,data\images\fig_0151.png,png,"(114.4800033569336, 279.35992431640625, 509.3399963378906, 518.93994140625)",1646,999
figure_fig_0152,Figure,fig_0152,152,116,Рисунок 152 — Настройка сообщений формы,data\images\fig_0152.png,png,"(134.8800048828125, 43.199981689453125, 487.9800109863281, 337.5)",1472,1227
figure_fig_0153,Figure,fig_0153,153,116,Рисунок 153 — Настройка вызовов внешней системы из формы,data\images\fig_0153.png,png,"(137.75999450683594, 461.75994873046875, 485.58001708984375, 716.219970703125)",1450,1061
figure_fig_0154,Figure,fig_0154,154,117,Рисунок 154 — Использование ответа на вопрос в блоке рассылки,data\images\fig_0154.png,png,"(194.8800048828125, 319.67999267578125, 429.17999267578125, 448.8599853515625)",977,539
figure_fig_0155,Figure,fig_0155,155,118,Рисунок 155 — Использование ответа на вопрос при вызове внешней системы,data\images\fig_0155.png,png,"(154.32000732421875, 43.199981689453125, 469.7400207519531, 441.8999938964844)",1315,1662
figure_fig_0156,Figure,fig_0156,156,119,Рисунок 156 — Использование ответа на вопрос типа «Файл» при генерации события,data\images\fig_0156.png,png,"(154.32000732421875, 169.19996643066406, 469.260009765625, 344.9399719238281)",1313,733
figure_fig_0157,Figure,fig_0157,157,120,"Рисунок 157 — Сценарий рассылки с формой, где при успешном заполнении формы генерируется событие, запускающее рассылку со следующей формой",data\images\fig_0157.png,png,"(73.68000030517578, 43.19999694824219, 571.739990234375, 270.05999755859375)",2076,946
figure_fig_0158,Figure,fig_0158,158,120,Рисунок 158 — Повторный вызов формы в рамках одной рассылки,data\images\fig_0158.png,png,"(146.8800048828125, 499.91998291015625, 476.70001220703125, 711.8999633789062)",1375,884
figure_fig_0159,Figure,fig_0159,159,121,Рисунок 159 — Настройка отписки от рассылок при нажатии на кнопку-действие,data\images\fig_0159.png,png,"(56.70000076293945, 244.49996948242188, 566.9500122070312, 503.6999816894531)",2127,1081
figure_fig_0160,Figure,fig_0160,160,122,Рисунок 160 — Расположение виджетов на странице сайта,data\images\fig_0160.png,png,"(55.91999816894531, 568.7999877929688, 576.5399780273438, 767.0999755859375)",2170,827
figure_fig_0161,Figure,fig_0161,161,123,Рисунок 161 — Переход к созданию виджета,data\images\fig_0161.png,png,"(55.91999816894531, 177.5999755859375, 576.5399780273438, 438.05999755859375)",2170,1086
figure_fig_0162,Figure,fig_0162,162,123,Рисунок 162 — Ввод названия виджета,data\images\fig_0162.png,png,"(194.8800048828125, 492.2400207519531, 429.17999267578125, 613.02001953125)",977,504
figure_fig_0163,Figure,fig_0163,163,124,Рисунок 163 — Настройка виджета,data\images\fig_0163.png,png,"(55.91999816894531, 43.199981689453125, 576.5399780273438, 481.0199890136719)",2170,1825
figure_fig_0164,Figure,fig_0164,164,125,Рисунок 164 — Выбор диплинка для передачи боту,data\images\fig_0164.png,png,"(200.16000366210938, 43.19996643066406, 423.41998291015625, 150.77996826171875)",931,449
figure_fig_0166,Figure,fig_0166,166,125,Рисунок 166 — Код виджета для вставки на страницу сайта,data\images\fig_0166.png,png,"(110.87999725341797, 491.760009765625, 512.9400024414062, 776.9400024414062)",1676,1189
figure_fig_0167,Figure,fig_0167,167,126,Рисунок 167 — Элементы интерфейса для включения и отключения виджета в целом и для отдельных типов отображения,data\images\fig_0167.png,png,"(211.1999969482422, 220.55999755859375, 412.6199951171875, 380.4599914550781)",840,667
figure_fig_0168,Figure,fig_0168,168,127,Рисунок 168 — Переход к созданию лендинга,data\images\fig_0168.png,png,"(60.47999954223633, 43.20001220703125, 563.0999755859375, 284.70001220703125)",2095,1007
figure_fig_0169,Figure,fig_0169,169,127,Рисунок 169 — Ввод имени лендинга,data\images\fig_0169.png,png,"(188.8800048828125, 326.3999938964844, 434.2200012207031, 453.17999267578125)",1023,529
figure_fig_0170,Figure,fig_0170,170,128,Рисунок 170 — Страница настройки лендинга,data\images\fig_0170.png,png,"(71.07499694824219, 42.549957275390625, 552.5150146484375, 349.7499694824219)",2007,1281
figure_fig_0171,Figure,fig_0171,171,129,Рисунок 171 — Ввод настроек интеграции,data\images\fig_0171.png,png,"(203.75999450683594, 43.199981689453125, 420.29998779296875, 329.0999755859375)",903,1192
figure_fig_0172,Figure,fig_0172,172,129,Рисунок 172 — SMS-рассылка со ссылкой на лендинг,data\images\fig_0172.png,png,"(222.47999572753906, 493.1999816894531, 401.0999755859375, 664.8599853515625)",745,716
figure_fig_0173,Figure,fig_0173,173,130,"Рисунок 173 — Лендинг с перечнем доступных мессенджеров, которые можно использовать для общения с ботом",data\images\fig_0173.png,png,"(205.97000122070312, 42.54997253417969, 417.6300048828125, 287.0999755859375)",883,1020
figure_fig_0174,Figure,fig_0174,174,130,Рисунок 174 — Клиент подтвердил номер телефона и продолжил общение с ботом в Telegram,data\images\fig_0174.png,png,"(228.47999572753906, 471.1199645996094, 394.8599853515625, 632.219970703125)",694,672
figure_fig_0175,Figure,fig_0175,175,131,"Рисунок 175 — Отображение вкладки ""Журнал""",data\images\fig_0175.png,png,"(68.87999725341797, 43.20001220703125, 554.9400024414062, 244.3800048828125)",2026,839
figure_fig_0176,Figure,fig_0176,176,132,Рисунок 176 — Выгрузка аудитории для выбранного бота,data\images\fig_0176.png,png,"(95.04000091552734, 490.8000183105469, 528.2999877929688, 736.1400146484375)",1806,1023
figure_fig_0177,Figure,fig_0177,177,133,Рисунок 177 — Выгрузка статистики рассылок для выбранного бота,data\images\fig_0177.png,png,"(111.5999984741211, 511.44000244140625, 511.5, 738.2999877929688)",1667,946
figure_fig_0178,Figure,fig_0178,178,134,Рисунок 178 — Пример рассылки с 3-мя блоками для сохранения статистики,data\images\fig_0178.png,png,"(62.880001068115234, 264.7200012207031, 559.97998046875, 571.5)",2072,1279
figure_fig_0179,Figure,fig_0179,179,136,Рисунок 179 — Раздел «Отладка»,data\images\fig_0179.png,png,"(61.20000076293945, 43.199951171875, 561.6599731445312, 303.89996337890625)",2086,1087
figure_fig_0180,Figure,fig_0180,180,136,Рисунок 180 — Поиск события по его характеристикам,data\images\fig_0180.png,png,"(99.5999984741211, 428.8800048828125, 524.219970703125, 673.260009765625)",1770,1019
figure_fig_0181,Figure,fig_0181,181,139,Рисунок 181 — Просмотр найденных событий (режим карточек),data\images\fig_0181.png,png,"(71.76000213623047, 442.5600280761719, 551.8200073242188, 754.1400146484375)",2001,1299
figure_fig_0182,Figure,fig_0182,182,140,Рисунок 182 — Просмотр найденных событий (режим списка),data\images\fig_0182.png,png,"(71.76000213623047, 43.19999694824219, 552.2999877929688, 284.94000244140625)",2003,1008
figure_fig_0183,Figure,fig_0183,183,141,Рисунок 183 — Общая информация о сгенерированном событии,data\images\fig_0183.png,png,"(175.1999969482422, 157.44000244140625, 447.65997314453125, 382.6199951171875)",1136,939
figure_fig_0184,Figure,fig_0184,184,142,"Рисунок 184 — Пример вывода информации о рассылках в мессенджер, которые начались сразу после возникновения события",data\images\fig_0184.png,png,"(208.32000732421875, 272.3999938964844, 417.6600036621094, 543.1799926757812)",873,1129
figure_fig_0185,Figure,fig_0185,185,143,"Рисунок 185 — Пример вывода информации о SMS-рассылке, которая началась сразу после возникновения события",data\images\fig_0185.png,png,"(201.60000610351562, 43.20001220703125, 422.70001220703125, 292.3800048828125)",922,1039
figure_fig_0186,Figure,fig_0186,186,143,Рисунок 186 — Просмотр информации об ошибке при отправке SMS-рассылок,data\images\fig_0186.png,png,"(187.1999969482422, 393.5999755859375, 436.8599853515625, 699.6599731445312)",1041,1276
figure_fig_0187,Figure,fig_0187,187,144,"Рисунок 187 — Пример вывода информации о событии, отложенном до подтверждения номера телефона",data\images\fig_0187.png,png,"(188.16000366210938, 115.43997192382812, 434.70001220703125, 288.53997802734375)",1028,722
figure_fig_0188,Figure,fig_0188,188,144,"Рисунок 188 — Пример вывода информации о событии, отложенном до подписки на бота в мессенджере",data\images\fig_0188.png,png,"(191.0399932861328, 480.96002197265625, 432.05999755859375, 734.9400024414062)",1005,1059
figure_fig_0189,Figure,fig_0189,189,145,Рисунок 189 — Поиск рассылок по их характеристикам,data\images\fig_0189.png,png,"(55.91999816894531, 193.67999267578125, 576.5399780273438, 489.17999267578125)",2170,1232
figure_fig_0190,Figure,fig_0190,190,146,Рисунок 190 — Вывод информации о найденных рассылках (режим карточек),data\images\fig_0190.png,png,"(55.91999816894531, 179.75997924804688, 576.5399780273438, 359.8199768066406)",2170,751
figure_fig_0191,Figure,fig_0191,191,146,Рисунок 191 — Вывод информации о найденных рассылках (режим списка),data\images\fig_0191.png,png,"(55.91999816894531, 385.91998291015625, 576.5399780273438, 553.97998046875)",2170,701
figure_fig_0192,Figure,fig_0192,192,147,Рисунок 192 — Общая информация о рассылке,data\images\fig_0192.png,png,"(79.19999694824219, 301.44000244140625, 544.8599853515625, 630.2999877929688)",1941,1371
figure_fig_0193,Figure,fig_0193,193,148,Рисунок 193 — Информация об ошибке при запуске SMS-рассылки,data\images\fig_0193.png,png,"(55.91999816894531, 43.19996643066406, 576.5399780273438, 192.77996826171875)",2170,624
figure_fig_0194,Figure,fig_0194,194,148,Рисунок 194 — Ход выполнения рассылки для клиента,data\images\fig_0194.png,png,"(57.599998474121094, 415.9200134277344, 565.97998046875, 694.3800048828125)",2119,1161
figure_fig_0195,Figure,fig_0195,195,149,Рисунок 195 — Ход выполнения SMS-рассылки,data\images\fig_0195.png,png,"(59.7599983215332, 90.47994995117188, 563.5800170898438, 355.97998046875)",2100,1107
figure_fig_0196,Figure,fig_0196,196,150,Рисунок 196 — Переход в раздел «Статистика»,data\images\fig_0196.png,png,"(120.4800033569336, 43.199981689453125, 503.1000061035156, 147.41998291015625)",1595,435
figure_fig_0197,Figure,fig_0197,197,150,Рисунок 197 — Переход к скачиванию результатов для выбранного графика,data\images\fig_0197.png,png,"(229.1999969482422, 314.8800048828125, 393.6600036621094, 483.9000244140625)",686,705
figure_fig_0198,Figure,fig_0198,198,151,Рисунок 198 — Просмотр графиков,data\images\fig_0198.png,png,"(55.91999816894531, 43.199981689453125, 576.5399780273438, 261.41998291015625)",2170,910
figure_fig_0199,Figure,fig_0199,199,151,Рисунок 199 — Просмотр графиков,data\images\fig_0199.png,png,"(55.91999816894531, 489.8399658203125, 576.5399780273438, 674.4599609375)",2170,770
figure_fig_0200,Figure,fig_0200,200,152,Рисунок 200 — Просмотр графиков,data\images\fig_0200.png,png,"(55.91999816894531, 43.199981689453125, 576.5399780273438, 222.29998779296875)",2170,747
figure_fig_0201,Figure,fig_0201,201,152,Рисунок 201 — Просмотр графиков,data\images\fig_0201.png,png,"(55.91999816894531, 351.1199951171875, 576.5399780273438, 532.8599853515625)",2170,758
figure_fig_0202,Figure,fig_0202,202,153,Рисунок 202 — Просмотр графиков,data\images\fig_0202.png,png,"(55.91999816894531, 43.19999694824219, 576.5399780273438, 212.94000244140625)",2170,708
figure_fig_0203,Figure,fig_0203,203,153,Рисунок 203 — Просмотр графиков,data\images\fig_0203.png,png,"(55.91999816894531, 359.52001953125, 576.5399780273438, 547.260009765625)",2170,783
figure_fig_0204,Figure,fig_0204,204,154,Рисунок 204 — Просмотр графиков,data\images\fig_0204.png,png,"(55.91999816894531, 43.19999694824219, 576.5399780273438, 211.739990234375)",2170,703
figure_fig_0205,Figure,fig_0205,205,154,Рисунок 205 — Просмотр графиков,data\images\fig_0205.png,png,"(55.91999816894531, 340.5599365234375, 576.5399780273438, 542.699951171875)",2170,843
figure_fig_0206,Figure,fig_0206,206,155,Рисунок 206 — Просмотр графиков,data\images\fig_0206.png,png,"(55.91999816894531, 43.20001220703125, 576.5399780273438, 235.260009765625)",2170,801
figure_fig_0208,Figure,fig_0208,208,156,Рисунок 208 — Просмотр графиков,data\images\fig_0208.png,png,"(73.19999694824219, 43.20001220703125, 550.3800048828125, 242.70001220703125)",1989,832
figure_fig_0209,Figure,fig_0209,209,156,Рисунок 209 — Переход к статистике по рассылке при помощи журнала,data\images\fig_0209.png,png,"(105.5999984741211, 474.47998046875, 518.7000122070312, 666.5399780273438)",1722,801
figure_fig_0210,Figure,fig_0210,210,157,Рисунок 210 — Просмотр статистики из списка рассылок,data\images\fig_0210.png,png,"(122.87999725341797, 43.20001220703125, 500.94000244140625, 218.70001220703125)",1576,732
figure_fig_0211,Figure,fig_0211,211,157,Рисунок 211 — Кнопка для перехода на статистику по рассылке,data\images\fig_0211.png,png,"(124.31999969482422, 289.67999267578125, 498.5400085449219, 464.94000244140625)",1560,731
figure_fig_0212,Figure,fig_0212,212,157,Рисунок 212 — Просмотр графиков,data\images\fig_0212.png,png,"(227.0399932861328, 580.0799560546875, 396.05999755859375, 758.4599609375)",705,744
figure_fig_0213,Figure,fig_0213,213,158,Рисунок 213 — Просмотр графиков,data\images\fig_0213.png,png,"(63.599998474121094, 43.199981689453125, 559.260009765625, 327.41998291015625)",2066,1185
figure_fig_0214,Figure,fig_0214,214,158,Рисунок 214 — Просмотр графиков,data\images\fig_0214.png,png,"(60.47999954223633, 399.3599853515625, 562.1400146484375, 676.6199951171875)",2091,1156
figure_fig_0215,Figure,fig_0215,215,159,Рисунок 215 — Просмотр графиков,data\images\fig_0215.png,png,"(123.5999984741211, 43.199981689453125, 500.2200012207031, 274.8599853515625)",1570,966
figure_fig_0216,Figure,fig_0216,216,175,Рисунок 216 — Ввод параметров для SMS-провайдера «СМС услуги»,data\images\fig_0216.png,png,"(147.60000610351562, 207.1199951171875, 475.9800109863281, 603.1799926757812)",1369,1651
figure_fig_0217,Figure,fig_0217,217,176,Рисунок 217 — Раздел «API» личного кабинета на сервисе «СМС услуги»,data\images\fig_0217.png,png,"(215.75999450683594, 43.199951171875, 408.05999755859375, 587.5799560546875)",802,2269
figure_fig_0218,Figure,fig_0218,218,176,"Рисунок 218 — Подраздел «Рассылка сообщений», в котором генерируется токен",data\images\fig_0218.png,png,"(55.91999816894531, 641.52001953125, 576.5399780273438, 739.739990234375)",2170,410
figure_fig_0219,Figure,fig_0219,219,177,Рисунок 219 — Настройка имени отправителя,data\images\fig_0219.png,png,"(103.19999694824219, 43.199981689453125, 520.8599853515625, 229.97998046875)",1741,779
figure_fig_0220,Figure,fig_0220,220,178,Рисунок 220 — api-токен в личном кабинете SMS.ru,data\images\fig_0220.png,png,"(61.20000076293945, 265.20001220703125, 562.8599853515625, 507.9000244140625)",2091,1012
