chunk_id,page_start,page_end,type,font_size,text,bbox,hyperlink_target,items
ch0295,31,31,reference,11.04,Рисунок 45 — Настройка действия перевода в канал,"(173.58999633789062, 773.9231567382812, 452.9300231933594, 786.7295532226562)",,
ch0296,32,32,paragraph,12.0,32,"(305.3999938964844, 810.47998046875, 321.1199951171875, 824.3999633789062)",,
ch0297,32,32,list_block,12.0,"• Время ожидания сообщения — время, которое бот ожидает сообщения от клиента для перевода его в канал. Можно установить время не более 2 часов (ограничение введено, чтобы маркетолог не мог надолго «блокировать» клиента: поскольку в момент ожидания не могут выполняться другие рассылки, а также клиенту не смогут отправлять сообщения операторы);
• Если клиент не ответил за заданное время — действие, которое бот выполнит, не дождавшись сообщения от клиента в течение «времени ожидания сообщения»:
• «Ничего не делать» — бот не будет предпринимать каких-либо действий; клиент не будет переведен в канал, рассылка при этом продолжится согласно сценарию;
• «Перевести в канал безусловно» — клиент будет переведен в канал, при этом можно задать другой канал (отличный от исходно заданного);
• «Отправить сообщение» — клиенту будет отправлено сообщение, заданное в поле ниже; клиент не будет переведен в канал.","(56.66400146484375, 42.675537109375, 62.18353271484375, 57.376708984375)",,"['• Время ожидания сообщения — время, которое бот ожидает сообщения от клиента для перевода его в канал. Можно установить время не более 2 часов (ограничение введено, чтобы маркетолог не мог надолго «блокировать» клиента: поскольку в момент ожидания не могут выполняться другие рассылки, а также клиенту не смогут отправлять сообщения операторы);', '• Если клиент не ответил за заданное время — действие, которое бот выполнит, не дождавшись сообщения от клиента в течение «времени ожидания сообщения»:', '• «Ничего не делать» — бот не будет предпринимать каких-либо действий; клиент не будет переведен в канал, рассылка при этом продолжится согласно сценарию;', '• «Перевести в канал безусловно» — клиент будет переведен в канал, при этом можно задать другой канал (отличный от исходно заданного);', '• «Отправить сообщение» — клиенту будет отправлено сообщение, заданное в поле ниже; клиент не будет переведен в канал.']"
ch0302,32,32,reference,12.0,"Если для рассылки ниже (см. Рисунок 46) задать безусловный перевод клиента в канал по факту нажатия на кнопку «Оставить отзыв», то клиент будет переведен сразу, какого- либо сообщения от него не требуется.","(56.66400146484375, 303.9399719238281, 570.0219116210938, 317.8599853515625)",31,
ch0303,32,32,reference,11.04,Рисунок 46 — Пример рассылки с переводом в канал,"(172.38999938964844, 518.253173828125, 454.1300048828125, 531.0595703125)",,
ch0304,32,32,reference,12.0,"В этом случае оператор увидит нового клиента в списке диалогов, но сообщение от клиента будет отсутствовать (см. Рисунок 47).","(56.66400146484375, 540.8900146484375, 570.0339965820312, 554.8099975585938)",31,
ch0305,32,32,reference,11.04,Рисунок 47 — Клиент переведен в канал без сообщения,"(165.6699981689453, 766.2431640625, 460.6100158691406, 779.049560546875)",,
ch0306,33,33,reference,12.0,"33 Если же в настройках перевода в канал потребовать ввод сообщения от клиента (см. Рисунок 48), то новый диалог появится только после отправки клиентом сообщения.","(305.3999938964844, 810.47998046875, 321.1199951171875, 824.3999633789062)",32,
ch0307,33,33,reference,11.04,Рисунок 48 — Ввод условия перевода клиента в канал только при наличии от него сообщения,"(65.30400085449219, 267.83319091796875, 560.97998046875, 280.63958740234375)",,
ch0308,33,33,reference,12.0,В этом случае оператор уже сразу увидит текст сообщения и не будет тратить время на выяснение причины и содержания обращения (см. Рисунок 49).,"(56.66400146484375, 290.7399597167969, 569.508056640625, 304.65997314453125)",32,
ch0309,33,33,reference,11.04,Рисунок 49 — Клиент переведен в канал после отправки им сообщения,"(124.8499984741211, 598.4331665039062, 501.4300231933594, 611.2395629882812)",,
ch0310,33,33,paragraph,12.0,Отмена отправки запланированных сообщений,"(56.66400146484375, 623.4700317382812, 334.55999755859375, 637.3900146484375)",,
ch0311,33,33,paragraph,12.0,"Это действие позволяет маркетологу остановить рассылку для клиента при возникновении некоторого события. Например, при нажатии кнопки, при отправке финального сообщения рассылки, при истечении определенного времени.","(56.66400146484375, 646.75, 569.8640747070312, 660.6699829101562)",,
ch0312,33,33,reference,12.0,"Для добавления действия нужно нажать на кнопку и в раскрывшемся меню выбрать пункт «Действие», после чего выбрать «Отключить рассылку запланированных, но еще не отправленных сообщений» (см. Рисунок 50):","(56.66400146484375, 705.1000366210938, 355.080078125, 719.02001953125)",33,
ch0313,34,34,paragraph,12.0,34,"(305.1600036621094, 810.47998046875, 321.3599853515625, 824.3999633789062)",,
ch0314,34,34,reference,11.04,Рисунок 50 — Выбор действия,"(233.86000061035156, 302.18316650390625, 392.6600036621094, 314.98956298828125)",,
ch0315,34,34,reference,12.0,"На рисунке 51 показан пример такого сценария. Если клиент нажмет на кнопку «Не интересуюсь этим», робот отправит извинительное сообщение и отключит отправку запланированных сообщений. В данном случае это правое нижнее сообщение, которое предполагалось отправить через 5 дней.","(56.66400146484375, 324.8199768066406, 569.6177978515625, 338.739990234375)",33,
ch0316,34,34,paragraph,12.0,"Если клиент в течение 5 дней не нажмет эту кнопку, то он получит запланированное сообщение с информацией о продлении акции.","(56.66400146484375, 400.4399719238281, 569.6979370117188, 414.3599853515625)",,
ch0317,34,34,reference,11.04,Рисунок 51 — Пример использования события отмены отправки запланированных сообщений,"(67.2239990234375, 687.26318359375, 559.2999877929688, 700.069580078125)",,
ch0318,34,34,paragraph,12.0,Важно!,"(56.66400146484375, 714.2200317382812, 99.76799774169922, 728.1400146484375)",,
ch0319,34,34,paragraph,12.0,"Действие отмены отправки запланированных сообщений применяется ко всей рассылке для текущего клиента, независимо от того, из какой ветви сценария оно было вызвано.","(56.66400146484375, 737.4960327148438, 569.5560302734375, 751.416015625)",,
ch0320,35,35,paragraph,12.0,35,"(305.3999938964844, 810.47998046875, 321.1199951171875, 824.3999633789062)",,
ch0321,35,35,paragraph,12.0,Отмена работы уже отправленных в рассылку кнопок,"(56.66400146484375, 42.499977111816406, 367.94000244140625, 56.419979095458984)",,
ch0322,35,35,paragraph,12.0,"Это действие работает аналогично предыдущему, только отменяет не отправку сообщений, а работу кнопок в сообщениях. Вместе с предыдущим действием позволяет полностью деактивировать рассылку для клиентов, у которых они будут выполнены.","(56.66400146484375, 66.0199966430664, 569.5679931640625, 79.93999481201172)",,
ch0323,35,35,reference,12.0,"Для добавления действия нужно нажать на кнопку и в раскрывшемся меню выбрать пункт «Действие», после чего выбрать «Отключить работу уже отправленных в рассылку кнопок» (см. Рисунок 52):","(56.66400146484375, 124.1299819946289, 355.080078125, 138.04998779296875)",34,
ch0324,35,35,reference,11.04,Рисунок 52 — Выбор действия,"(234.33999633789062, 485.3431701660156, 391.94000244140625, 498.1495666503906)",,
ch0325,35,35,reference,12.0,"В следующем сценарии (см. Рисунок 53) при нажатии на кнопку «Не интересуюсь этим» произойдет не только отмена запланированного сообщения, но и перестанет работать кнопка, отправленная клиенту в первом сообщении.","(56.66400146484375, 508.2200012207031, 569.8759765625, 522.1400146484375)",34,
ch0326,35,35,reference,11.04,Рисунок 53 — Использование действия отмены работы уже отправленных в рассылку кнопок,"(69.38400268554688, 752.5631713867188, 557.1400146484375, 765.3695678710938)",,
ch0327,36,36,paragraph,12.0,36 Важно!,"(305.3999938964844, 810.47998046875, 321.1199951171875, 824.3999633789062)",,
ch0328,36,36,paragraph,12.0,"Это действие отменяет только работу кнопок-действий. Кнопки-ссылки будут всегда доступны, клиенты смогут переходить по ним произвольное число раз.","(56.66400146484375, 69.8599624633789, 569.9420776367188, 83.77996063232422)",,
ch0329,36,36,paragraph,12.0,"Действие отмены работы кнопок применяется ко всей рассылке для текущего клиента, независимо от того, из какой ветви сценария оно было вызвано.","(56.66400146484375, 110.68997955322266, 569.5198974609375, 124.60997772216797)",,
ch0330,36,36,paragraph,12.0,Вызов внешней системы,"(56.66400146484375, 161.5699920654297, 197.22999572753906, 175.489990234375)",,
ch0331,36,36,paragraph,12.0,Действие «Вызвать внешнюю систему» предназначено для уведомления внешней системы о достижении клиентом того или иного этапа рассылки.,"(56.66400146484375, 185.0900115966797, 569.81982421875, 199.010009765625)",,
ch0332,36,36,reference,12.0,"Для добавления вызова внешней системы нужно нажать на кнопку и в раскрывшемся меню выбрать пункт «Действие», после чего выбрать «Вызвать внешнюю систему» (см. Рисунок 54).","(56.66400146484375, 225.91001892089844, 444.0961608886719, 239.83001708984375)",35,
ch0333,36,36,reference,11.04,Рисунок 54 — Выбор действия,"(234.10000610351562, 593.1531982421875, 392.4200134277344, 605.9595947265625)",,
ch0334,36,36,reference,12.0,"Далее необходимо задать параметры запроса к внешней системе. Для примера далее заполнено обращение к CRM компании для того, чтобы отметить интерес клиента к определенной теме в случае нажатия на определенную кнопку (см. Рисунок 55). В дальнейшем в CRM это можно будет использовать для сегментации аудитории.","(56.66400146484375, 615.7899780273438, 569.7841186523438, 629.7099609375)",36,
ch0335,36,36,paragraph,12.0,"Пример ниже отражает вариант запроса, при выполнении которого в CRM компании сохраняются данные о том, что клиент с идентификатором 12443 интересуется товарами в категории «наушники» (headphones).","(56.66400146484375, 691.4199829101562, 570.0338134765625, 705.3399658203125)",,
ch0336,36,36,reference,12.0,"Кроме строковых и числовых параметров также могут использоваться макросы, см. подробнее в разделе","(56.66400146484375, 749.7360229492188, 569.460205078125, 763.656005859375)",99,
ch0337,36,36,paragraph,12.0,Использование макросов,"(183.6699981689453, 767.0399780273438, 329.9860534667969, 780.9599609375)",99,
ch0338,36,36,paragraph,12.0,.,"(330.1199951171875, 767.0399780273438, 335.760009765625, 780.9599609375)",99,
ch0339,37,37,paragraph,12.0,37,"(305.6400146484375, 810.47998046875, 320.8800048828125, 824.3999633789062)",,
ch0340,37,37,reference,11.04,Рисунок 55 — Ввод параметров запроса к внешней системе,"(154.6300048828125, 437.1031799316406, 471.6700134277344, 449.9095764160156)",,
ch0341,37,37,paragraph,12.0,"Если в блоке есть действие вызова внешней системы, то оно всегда выполняется первым. Если вызов завершается ошибкой (сервер возвращает HTTP-статус, отличный от 200 или не отвечает в течение времени, заданного в поле «Максимальное время выполнения запроса»), то остальные действия блока не выполняются. Если к текущем блоку привязаны последующие блоки (т. е. выполняются после отправки сообщения из этого блока), то они также не будут выполнены.","(56.66400146484375, 459.97998046875, 569.5199584960938, 473.8999938964844)",,
ch0342,37,37,paragraph,12.0,Примечание:,"(56.66400146484375, 574.489990234375, 136.72999572753906, 588.4099731445312)",,
ch0343,37,37,paragraph,12.0,В текущей версии «Максимальное время выполнения запроса» и все подобные таймауты временно равны 0.5 секунды вне зависимости от заданного значения.,"(56.66400146484375, 597.7899780273438, 569.9660034179688, 611.7099609375)",,
ch0344,37,37,paragraph,12.0,Генерация события,"(56.66400146484375, 648.6699829101562, 171.07000732421875, 662.5899658203125)",,
ch0345,37,37,paragraph,12.0,Блок этого типа позволяет вызывать события и использовать их для запуска других рассылок из текущей рассылки.,"(56.66400146484375, 671.9800415039062, 569.7839965820312, 685.9000244140625)",,
ch0346,37,37,reference,12.0,"Если клиент по сценарию рассылки перейдет к действию «Сгенерировать событие», то это событие будет сгенерировано либо только для него; если для события задана фиксированная аудитория (см. подробнее в разделе","(56.66400146484375, 712.780029296875, 569.4960327148438, 726.7000122070312)",,
ch0347,37,37,paragraph,12.0,Определение аудитории,"(392.29998779296875, 747.5759887695312, 540.535888671875, 761.4959716796875)",63,
ch0348,37,37,paragraph,12.0,"), то событие будет сгенерировано для нее (будет запущена рассылка для множества","(540.7000122070312, 747.5759887695312, 570.0760498046875, 761.4959716796875)",63,
ch0349,38,38,paragraph,12.0,"38 клиентов). Это позволит начать одну или несколько других рассылок. Текущая рассылка при этом не будет остановлена, ее сценарий продолжит выполняться.","(305.3999938964844, 810.47998046875, 321.3599853515625, 824.3999633789062)",,
ch0350,38,38,reference,11.04,Рисунок 56 — Выбор действия «Сгенерировать событие,"(166.38999938964844, 371.32318115234375, 459.8900146484375, 384.12957763671875)",,
ch0351,38,38,reference,12.0,"Например, есть рассылка, предлагающая клиенту воспользоваться промокодом (см. Рисунок 57). Если клиент нажимает на кнопку, то во втором блоке рассылки генерируется событие «Создание промокода для клиента».","(56.66400146484375, 394.1999816894531, 570.0880126953125, 408.1199951171875)",37,
ch0352,38,38,paragraph,12.0,Примечание:,"(56.66400146484375, 456.6199645996094, 136.72999572753906, 470.53997802734375)",,
ch0353,38,38,reference,12.0,"Событие, используемое в сценарии рассылки, должно быть предварительно создано. Подробнее об этом см. в разделе","(56.66400146484375, 479.89996337890625, 569.9779663085938, 493.8199768066406)",89,
ch0354,38,38,paragraph,12.0,Использование событий,"(251.6199951171875, 497.1799621582031, 389.0680847167969, 511.0999755859375)",89,
ch0355,38,38,paragraph,12.0,.,"(389.17999267578125, 497.1799621582031, 395.05999755859375, 511.0999755859375)",89,
ch0356,38,38,reference,11.04,"Рисунок 57 — Рассылка, в сценарии которой генерируется событие для клиента","(101.56999969482422, 697.1032104492188, 524.9500122070312, 709.9096069335938)",,
ch0357,38,38,reference,12.0,"В аргументах события, генерируемого для клиента, нужно задать требуемые значения. В нашем случае нужно задать значения для 3-х аргументов (см. Рисунок 58):","(56.66400146484375, 719.97998046875, 569.4840087890625, 733.8999633789062)",38,
ch0358,38,38,list_block,12.0,• промокод — строка;,"(74.42400360107422, 760.9755249023438, 79.94353485107422, 775.6766967773438)",,['• промокод — строка;']
ch0359,39,39,paragraph,12.0,39,"(305.3999938964844, 810.47998046875, 321.1199951171875, 824.3999633789062)",,
ch0360,39,39,list_block,12.0,"• размер скидки (%) — число;
• действует до — строка.","(74.42400360107422, 42.675537109375, 79.94353485107422, 57.376708984375)",,"['• размер скидки (%) — число;', '• действует до — строка.']"
ch0362,39,39,reference,11.04,Рисунок 58 — Событие «Создание промокода для клиента» и его аргументы,"(112.8499984741211, 434.94317626953125, 513.6699829101562, 447.74957275390625)",,
ch0363,39,39,reference,12.0,Пример ввода значений аргументов события показан на рисунке 59.,"(56.66400146484375, 457.8199768066406, 451.7300109863281, 471.739990234375)",39,
ch0364,39,39,paragraph,12.0,При указании строковых значений необходимо использовать символ кавычек (“); числовые значения и даты задаются без кавычек. Значение аргумента также может быть пустым (не задано).,"(56.66400146484375, 481.0999755859375, 570.0999755859375, 495.0199890136719)",,
ch0365,39,39,paragraph,12.0,"При этом могут быть заданы как статические значения аргументов (в примере выше), так и динамические —","(56.66400146484375, 539.4500122070312, 570.0760498046875, 553.3699951171875)",99,
ch0366,39,39,paragraph,12.0,макросы,"(163.75, 556.7300415039062, 214.17398071289062, 570.6500244140625)",99,
ch0367,39,39,paragraph,12.0,", уникальные для каждого клиента.","(214.17999267578125, 556.7300415039062, 415.010009765625, 570.6500244140625)",99,
ch0368,39,39,paragraph,12.0,"Переключатель под названием события определяет, для кого будет сгенерировано событие:","(56.66400146484375, 580.25, 569.6978759765625, 594.1699829101562)",,
ch0369,39,39,list_block,12.0,• только для текущего клиента,"(56.66400146484375, 621.2455444335938, 62.18353271484375, 635.9467163085938)",,['• только для текущего клиента']
ch0370,39,39,paragraph,12.0,или,"(74.42400360107422, 645.5499877929688, 97.36799621582031, 659.469970703125)",,
ch0371,39,39,list_block,12.0,• для множества клиентов (для рассылок с фиксированной аудиторией).,"(56.66400146484375, 669.0355224609375, 62.18353271484375, 683.7366943359375)",,['• для множества клиентов (для рассылок с фиксированной аудиторией).']
ch0372,40,40,paragraph,12.0,40,"(304.67999267578125, 810.47998046875, 322.0799865722656, 824.3999633789062)",,
ch0373,40,40,reference,11.04,Рисунок 59 — Ввод аргументов для события,"(198.5500030517578, 348.503173828125, 427.7300109863281, 361.3095703125)",,
ch0374,40,40,reference,12.0,"Теперь можно создать вторую рассылку, которая будет выполняться при генерации события в первой рассылке. Ниже пример такой рассылки (см. Рисунок 60):","(56.66400146484375, 371.39996337890625, 569.8200073242188, 385.3199768066406)",39,
ch0375,40,40,reference,11.04,"Рисунок 60 — Вторая рассылка, запускаемая по сгенерированному событию и использующая значения аргументов события","(64.34400177001953, 571.2931518554688, 561.4404296875, 584.0995483398438)",,
ch0376,40,40,paragraph,12.0,Примечание:,"(56.66400146484375, 610.989990234375, 136.72999572753906, 624.9099731445312)",,
ch0377,40,40,reference,12.0,"Если рассылка запускается по событию, то его аргументы можно использовать в рассылке как макросы. На рисунке выше во второй рассылке при помощи скобок {{ }} используются значения аргументов сгенерированного события.","(56.66400146484375, 634.27001953125, 569.9541015625, 648.1900024414062)",,
ch0378,40,40,reference,12.0,"Для данной рассылки нужно выбрать условие «Начинать при возникновении события» и событие «Создание промокода для клиента» (см. Рисунок 61), после чего запустить ее. Рассылка будет «ожидать» выбранного события и выполнится у клиентов, для которых оно наступило.","(56.66400146484375, 696.4600219726562, 570.0999755859375, 710.3800048828125)",40,
ch0379,41,41,paragraph,12.0,41,"(306.3599853515625, 810.47998046875, 320.3999938964844, 824.3999633789062)",,
ch0380,41,41,reference,11.04,Рисунок 61 — Определение условий начала второй рассылки,"(150.77000427246094, 342.503173828125, 478.3900146484375, 355.3095703125)",,
ch0381,41,41,reference,12.0,"Если в результате выполнения первой рассылки (см. Рисунок 57) клиент нажмет кнопку «Получить промокод», то в результате выполнения второй рассылки будут получены данные промокода (см. Рисунок 62).","(56.66400146484375, 365.39996337890625, 569.9539184570312, 379.3199768066406)",37,
ch0382,41,41,reference,11.04,Рисунок 62 — После нажатия на кнопку «Получить промокод» для клиента выполнилась вторая рассылка,"(63.38399887084961, 672.6231689453125, 562.6005859375, 685.4295654296875)",,
ch0383,41,41,paragraph,12.0,Генерация интента,"(56.66400146484375, 710.3800048828125, 169.8699951171875, 724.2999877929688)",,
ch0384,41,41,paragraph,12.0,"Блок этого типа позволяет сгенерировать интент (intent) — намерения пользователя, которые могут быть распознаны системой для того, чтобы затем вызвать определенный навык бота.","(56.66400146484375, 733.656005859375, 570.1000366210938, 747.5759887695312)",,
ch0385,42,42,paragraph,12.0,42 Для вызова навыков бота необходимо:,"(305.1600036621094, 810.47998046875, 321.3599853515625, 824.3999633789062)",,
ch0386,42,42,ordered_list_block,12.0,"1. Нажать на кнопку и в раскрывшемся меню выбрать пункт «Действие», после чего выбрать «Сгенерировать intent» (см. Рисунок 63).","(56.66400146484375, 66.0199966430664, 63.50400161743164, 79.93999481201172)",,"['1. Нажать на кнопку и в раскрывшемся меню выбрать пункт «Действие», после чего выбрать «Сгенерировать intent» (см. Рисунок 63).']"
ch0387,42,42,reference,11.04,Рисунок 63 — Выбор действия «Сгенерировать intent»,"(170.9499969482422, 399.4031982421875, 455.33001708984375, 412.2095947265625)",,
ch0388,42,42,ordered_list_block,12.0,"2. В настройках действия (см. Рисунок 64) задать название интента и (необязательно) словарь сущностей (entities). Важно, что в поле «Entities» должен быть задан именно словарь в формате JSON (как на рисунке ниже), иначе выполнение сценария рассылки завершится ошибкой.","(56.66400146484375, 422.03997802734375, 65.66400146484375, 435.9599914550781)",,"['2. В настройках действия (см. Рисунок 64) задать название интента и (необязательно) словарь сущностей (entities). Важно, что в поле «Entities» должен быть задан именно словарь в формате JSON (как на рисунке ниже), иначе выполнение сценария рассылки завершится ошибкой.']"
ch0389,42,42,paragraph,12.0,"В словаре могут быть использованы как макросы и переменные окружения (в нотации «slots.m.macros_name»), так и статические значения. Этот словарь должен быть валидным jinja-выражением.","(74.42400360107422, 497.65997314453125, 569.5320434570312, 511.5799865722656)",,
ch0390,42,42,paragraph,12.0,"Константные выражения также нужно задавать правильно — строки только в кавычках, числа — без, и они не должны оставаться пустыми.","(74.42400360107422, 556.010009765625, 569.9299926757812, 569.9299926757812)",,
ch0391,42,42,reference,11.04,Рисунок 64 — Ввод параметров интента,"(207.42999267578125, 782.8031616210938, 419.0899963378906, 795.6095581054688)",,
ch0392,43,43,paragraph,12.0,43 3. Нажать на кнопку «Сохранить».,"(305.1600036621094, 810.47998046875, 321.3599853515625, 824.3999633789062)",,
ch0393,43,43,paragraph,12.0,"В результате выполнения этого действия бот сгенерирует указанный интент и передаст slots в качестве параметров. Это позволит запустить нужный навык бота для клиента (например, выбор определенного товара или услуги).","(56.66400146484375, 66.0199966430664, 569.5560913085938, 79.93999481201172)",,
ch0394,43,43,paragraph,12.0,Примечание:,"(56.66400146484375, 128.2100067138672, 133.85000610351562, 142.1300048828125)",,
ch0395,43,43,paragraph,12.0,"Чтобы бот выполнил определенное действие, навыки бота должны быть предварительно настроены.","(56.66400146484375, 151.48997497558594, 569.9658813476562, 165.40997314453125)",,
ch0396,43,43,paragraph,12.0,"В перспективе это действие должно вытеснить большинство переводов в канал – вместо того, чтобы передавать клиента оператору и занимать его время, рассылка будет вызывать соответствующий навык бота.","(56.66400146484375, 196.38999938964844, 570.0880126953125, 210.30999755859375)",,
ch0397,43,43,paragraph,18.0,Блок-комментарий,"(56.66400146484375, 260.7519836425781, 226.42599487304688, 283.2159729003906)",,
ch0398,43,43,reference,12.0,"В рассылки любого типа можно вставить блок-комментарий, который будет содержать произвольный текст. Для добавления блока-комментария к рассылке необходимо в левом нижнем углу нажать на кнопку «Добавить блок», после чего выбрать значение «Комментарий» (см. Рисунок 65) и перетащить его на область сценария рассылки.","(56.66400146484375, 294.8199768066406, 569.9860229492188, 308.739990234375)",42,
ch0399,43,43,reference,11.04,Рисунок 65 — Добавления блока-комментария,"(189.91000366210938, 539.8532104492188, 436.3699951171875, 552.6596069335938)",,
ch0400,43,43,paragraph,12.0,Блок данного типа является информационным: он не имеет каких-либо настроек (за исключением текста комментария) и не может иметь связей с другими блоками рассылки.,"(56.66400146484375, 562.7300415039062, 570.0880737304688, 576.6500244140625)",,
ch0401,43,43,paragraph,18.0,Блок «SMS-сообщения»,"(56.66400146484375, 609.5919189453125, 268.1860046386719, 632.0559692382812)",,
ch0402,43,43,reference,12.0,"В рассылку также можно добавить блок «SMS-сообщения», выбрав соответствующий пункт в меню добавления блоков (см. Рисунок 66). Блок позволяет отправлять клиентам SMS-сообщения, а также направлять клиентов на посадочную страницу для подключения мессенджера и автоматического подтверждения номера телефона.","(56.66400146484375, 643.6300048828125, 569.9239501953125, 657.5499877929688)",43,
ch0403,43,43,reference,12.0,Подробнее об использовании блока «SMS-сообщения» см. в разделе,"(56.66400146484375, 719.260009765625, 468.1199645996094, 733.1799926757812)",75,
ch0404,43,43,paragraph,12.0,Настройка SMS- рассылок,"(470.1099853515625, 719.260009765625, 567.0999755859375, 733.1799926757812)",75,
ch0405,43,43,caption,7.92,.,"(112.8499984741211, 740.2896118164062, 114.67160034179688, 749.476806640625)",75,
ch0406,44,44,paragraph,12.0,44,"(304.9200134277344, 810.47998046875, 321.8399963378906, 824.3999633789062)",,
ch0407,44,44,reference,11.04,Рисунок 66 — Добавления блока «SMS-сообщения»,"(177.42999267578125, 207.59320068359375, 448.8500061035156, 220.39959716796875)",,
ch0408,44,44,paragraph,12.0,Примечание:,"(56.66400146484375, 234.5499725341797, 133.85000610351562, 248.469970703125)",,
ch0409,44,44,reference,12.0,"По умолчанию после создания рассылки добавление блока «SMS-сообщения» недоступно. Для разблокирования этой возможности необходимо сначала выбрать SMS- провайдера, см. подробнее в разделах","(56.66400146484375, 257.8299865722656, 570.0999755859375, 271.75)",,
ch0410,44,44,paragraph,12.0,Регистрация SMS-провайдера,"(300.1199951171875, 292.6600036621094, 479.35400390625, 306.58001708984375)",75,
ch0411,44,44,paragraph,12.0,и,"(479.2300109863281, 292.6600036621094, 494.4700012207031, 306.58001708984375)",75,
ch0412,44,44,paragraph,12.0,Добавление SMS-провайдера в рассылку,"(497.2300109863281, 292.6600036621094, 570.0460205078125, 306.58001708984375)",77,
ch0413,44,44,paragraph,12.0,.,"(224.74000549316406, 309.9399719238281, 233.25999450683594, 323.8599853515625)",77,
ch0414,44,44,paragraph,18.0,Блок «Форма»,"(56.66400146484375, 343.36199951171875, 185.5959930419922, 365.82598876953125)",,
ch0415,44,44,reference,12.0,"При необходимости проведения опроса клиентов можно добавить в рассылку блок «Форма» (см. Рисунок 67). Блок позволяет при помощи конструктора задать порядок проведения опроса, а также форматы вопросов и ответов.","(56.66400146484375, 377.39996337890625, 569.5198364257812, 391.3199768066406)",43,
ch0416,44,44,reference,12.0,Подробнее о возможностях данного блока и особенностях его применения в рассылках см. в разделе,"(56.66400146484375, 435.7399597167969, 569.5440063476562, 449.65997314453125)",105,
ch0417,44,44,paragraph,12.0,Опрос клиентов с помощью форм,"(137.08999633789062, 453.0199890136719, 329.5700378417969, 466.94000244140625)",105,
ch0418,44,44,paragraph,12.0,.,"(329.8800048828125, 453.0199890136719, 335.5199890136719, 466.94000244140625)",105,
ch0419,44,44,reference,11.04,Рисунок 67 — Добавления блока «Форма»,"(202.6300048828125, 645.9531860351562, 423.6500244140625, 658.7595825195312)",,
ch0420,44,44,paragraph,18.0,Связи между блоками действий,"(56.66400146484375, 670.8219604492188, 333.72601318359375, 693.2860107421875)",,
ch0421,44,44,paragraph,12.0,Связь между событием и блоком означает безусловное выполнение действий блока сразу или через заданный промежуток времени после возникновения события.,"(56.66400146484375, 704.8599853515625, 570.0761108398438, 718.7799682617188)",,
ch0422,44,44,paragraph,12.0,"Таким образом, связь всегда исходит из событий и заканчивается в блоке действий. В один блок действий могут приходить несколько связей.","(56.66400146484375, 745.656005859375, 569.4719848632812, 759.5759887695312)",,
ch0423,45,45,paragraph,12.0,"45 Список событий, из которых может исходить связь:","(305.1600036621094, 810.47998046875, 321.6000061035156, 824.3999633789062)",,
ch0424,45,45,ordered_list_block,12.0,"1. Событие Start, т. е. начало выполнения сценария рассылки (см. Рисунок 68);","(74.66400146484375, 66.0199966430664, 81.5040054321289, 79.93999481201172)",,"['1. Событие Start, т. е. начало выполнения сценария рассылки (см. Рисунок 68);']"
ch0425,45,45,reference,11.04,Рисунок 68 — Связь исходит из события Start,"(195.6699981689453, 203.273193359375, 430.8500061035156, 216.07958984375)",,
ch0426,45,45,ordered_list_block,12.0,2. Нажатие на кнопку-действие (см. Рисунок 69);,"(74.66400146484375, 226.15000915527344, 83.66400146484375, 240.07000732421875)",,['2. Нажатие на кнопку-действие (см. Рисунок 69);']
ch0427,45,45,reference,11.04,Рисунок 69 — Связь исходит из кнопки «Узнать подробности»,"(152.9499969482422, 443.1031799316406, 473.5899963378906, 455.9095764160156)",,
ch0428,45,45,ordered_list_block,12.0,"3. Отправка сообщения клиенту. От события отправки сообщения также можно строить связь, для этого следует начать связь из точки в правом нижнем углу (см. Рисунок 70). Важно, что это событие происходит только когда сообщение непосредственно ставится в очередь на отправку, а не когда сообщение должно было отправиться.","(74.66400146484375, 465.97998046875, 83.90400695800781, 479.8999938964844)",,"['3. Отправка сообщения клиенту. От события отправки сообщения также можно строить связь, для этого следует начать связь из точки в правом нижнем углу (см. Рисунок 70). Важно, что это событие происходит только когда сообщение непосредственно ставится в очередь на отправку, а не когда сообщение должно было отправиться.']"
ch0429,45,45,reference,12.0,"Например, в приведенном ниже рисунке второе сообщение должно отправиться через 5 дней. Если первое сообщение не отправилось сразу после начала рассылки (например, у клиента был открыт диалог и его закрыли только через 1 день), то второе отправится только через 5 дней после отправки первого, т. е. через 6 дней после начала рассылки (а не через 5, как это может показаться из сценария). Поэтому рассылки с подобными связями могут растягиваться на неопределенное время.","(74.42400360107422, 558.8900146484375, 570.0340576171875, 572.8099975585938)",,
ch0430,46,46,paragraph,12.0,46,"(305.1600036621094, 810.47998046875, 321.3599853515625, 824.3999633789062)",,
ch0431,46,46,reference,11.04,Рисунок 70 — Связь исходит из блока с сообщением,"(175.50999450683594, 195.59320068359375, 450.77001953125, 208.39959716796875)",,
ch0432,46,46,reference,12.0,"Из события Start может исходить произвольное количество связей. Из остальных событий — только по одному. У всех связей, кроме тех, что исходят из кнопок, можно задать задержку (см. Рисунок 70).","(56.66400146484375, 218.4700164794922, 569.7640380859375, 232.3900146484375)",45,
ch0433,46,46,paragraph,12.0,"Также стоит отметить, что этой точки в правом нижнем углу нет, если в блоке нет действия отправки сообщения (не от чего отталкиваться).","(56.66400146484375, 277.0599670410156, 569.712158203125, 290.97998046875)",,
